"","Total_Time","Participant_ID","Q1","Q1_Time","Q2","Q2_Time","Q3","Q3_Time","Q4","Q4_Time","Q5","Q5_Time","Q6","Q6_Time","Q7","Q7_Time","Q8","Q8_Time","Q9","Q9_Time","Q10","Q10_Time","GCB_1","GCB_2","GCB_3","GCB_4","GCB_5","GCB_6","GCB_7","GCB_8","GCB_9","GCB_10","GCB_11","GCB_12","GCB_13","GCB_14","GCB_15","DQ_Pol.Today","DQ_Pol.Gen"
"29","1017",84884,"1","55,097","1","76,801","1","44,501","-1","117,201","1","45,611","1","63,768","1","98,902","1","59,649","-1","26,7","1","145,256","4","4","2","2","3","4","3","4","1","2","4","3","4","3","4","1","4"
"30","930",82053,"1","40,777","1","72,827","1","44,777","1","31,938","1","58,781","1","65,44","1","50,085","-1","49,795","-1","86,176","1","32,394","4","3","3","2","3","4","3","4","2","4","4","3","2","2","5","2",""
"31","810",25297,"1","22,113","1","41,927","1","26,367","1","16,679","-1","70,461","1","29,434","-1","30,939","-1","27,425","-1","27,538","-1","87,823","4","3","3","5","5","4","2","3","3","4","5","2","3","5","5","2","3"
"32","805",42620,"1","29,901","1","101,988","1","24,457","1","50,736","1","121,897","1","28,674","1","13,273","1","29,552","1","34,748","1","16,206","2","2","4","2","4","4","2","5","2","1","5","4","3","3","5","1","5"
"33","591",29866,"1","27,277","-1","21,36","-1","20,365","1","30,116","1","33,67","1","19,026","1","57,756","-1","24,072","-1","25,919","-1","23,076","4","3","2","2","2","3","2","2","1","4","4","3","2","3","5","1","4"
"34","683",11625,"1","98,254","1","34,468","1","31,543","1","28,708","1","34,015","1","33,986","-1","32,457","1","29,548","-1","23,947","1","18,418","4","4","3","4","2","4","4","5","2","3","4","4","4","3","5","1","3"
"35","1220",54161,"1","58,135","-1","8,228","-1","40,963","1","84,998","1","47,615","1","114,312","-1","85,471","1","36,911","1","15,463","-1","5,718","4","1","3","3","5","4","2","4","3","4","4","2","3","4","5","8","2"
"36","879",21355,"-1","36,344","1","42,866","-1","36,296","-1","43,774","-1","42,929","1","63,45","-1","70,227","1","44,807","-1","49,627","1","38,964","2","3","1","1","1","1","1","1","1","1","1","2","1","1","4","1","4"
"37","994",53281,"1","41,423","-1","152,237","1","67,122","-1","55,203","-1","100,733","1","44,723","1","116,497","-1","25,322","-1","31,896","1","45,955","4","2","2","3","2","4","2","2","2","3","3","2","1","1","4","1","5"
"38","333",68352,"1","0,94","-1","0,874","1","1,099","-1","1,017","1","2,135","-1","3,19","-1","2,428","-1","1,251","1","1,753","1","31,488","4","3","2","4","4","2","5","4","1","5","2","4","2","4","5","3","3"
