"","Total_Time","Participant_ID","Q1","Q1_Time","Q2","Q2_Time","Q3","Q3_Time","Q4","Q4_Time","Q5","Q5_Time","Q6","Q6_Time","Q7","Q7_Time","Q8","Q8_Time","Q9","Q9_Time","Q10","Q10_Time","GCB_1","GCB_2","GCB_3","GCB_4","GCB_5","GCB_6","GCB_7","GCB_8","GCB_9","GCB_10","GCB_11","GCB_12","GCB_13","GCB_14","GCB_15","DQ_Pol.Today","DQ_Pol.Gen"
"111","831",50111,"-1","29,599","-1","49,194","-1","23,035","1","39,778","-1","53,786","1","47,127","1","62,229","-1","40,986","-1","39,885","-1","71,587","4","5","1","1","1","2","4","2","1","5","4","4","1","2","5","4","5"
"112","743",92254,"-1","28,802","-1","58,64","-1","20,955","1","55,828","1","54,562","1","41,858","-1","33,891","1","49,159","1","71,88","-1","34,624","5","3","2","3","3","5","1","2","2","4","5","4","4","3","5","1","5"
"113","843",79830,"1","49,323","-1","34,284","1","42,284","-1","46,349","1","63,043","1","31,799","1","49,302","-1","36,488","-1","52,112","1","66,993","2","2","2","2","2","4","3","2","2","2","3","2","2","2","4","1","4"
"114","978",75593,"-1","64,52","1","87,609","-1","51,853","-1","64,096","1","90,768","1","45,673","1","55,97","-1","58,058","1","76,015","1","74,487","5","4","2","5","5","5","4","3","3","4","5","4","4","4","5","8","1"
"115","383",64083,"1","11,983","-1","19,116","1","25,987","1","14,278","-1","14,252","1","17,015","-1","15,025","-1","10,534","1","15,973","-1","25,262","2","2","4","2","2","4","2","4","1","5","2","2","4","2","4","2","3"
"116","1270",43027,"-1","94,312","-1","66,361","-1","70,322","-1","80,057","1","49,947","1","70,048","1","53,24","-1","57,211","1","61,964","1","128,156","1","1","1","2","2","4","2","2","2","2","2","2","2","1","3","1","5"
"117","915",44326,"1","68,374","1","45,773","-1","35,818","1","67,844","1","63,373","-1","51,703","1","41,385","1","61,95","-1","26,572","-1","48,438","4","3","2","2","2","2","3","2","2","4","3","4","2","2","5","1","4"
"118","978",21233,"-1","47,201","-1","35,919","-1","30,912","1","95,855","-1","44,018","1","36,981","1","50,107","-1","66,05","-1","57,103","-1","37,399","5","2","1","2","1","4","2","2","1","3","4","2","1","4","3","1","5"
"119","973",56835,"-1","38,351","-1","147,983","-1","48,616","-1","111,956","-1","27,953","-1","73,977","-1","49,926","-1","84,739","-1","83,985","-1","43,096","5","5","4","1","1","4","5","4","1","2","5","5","4","2","5","1","5"
"120","874",85705,"1","25,687","1","57,093","1","28,413","1","43,575","-1","45,027","1","44,008","1","24,991","1","44,069","1","45,777","1","57,398","2","1","1","1","2","3","2","3","1","4","4","1","1","2","5","1","5"
"121","1168",30334,"1","40,273","1","64,498","1","65,477","1","81,881","1","53,559","1","38,733","1","59,137","1","53,911","-1","51,813","1","97,544","2","4","1","2","2","3","2","1","2","4","3","3","1","1","4","3","3"
"122","665",61710,"1","18,91","-1","30,41","1","15,168","-1","45,483","1","26,898","-1","13,743","1","29,525","1","13,071","1","8,86","1","27,735","4","4","2","4","1","3","3","2","1","2","3","3","1","3","4","2","5"
"123","492",61589,"1","36,412","1","31,756","1","29,188","1","26,473","1","26,768","1","30,211","1","27,324","-1","42,701","1","21,57","1","34,176","2","2","1","2","2","2","2","3","2","4","4","2","1","3","4","4","5"
"124","1398",17239,"1","81,66","-1","63,517","-1","43,862","1","103,368","1","180,927","1","78,432","1","48,291","1","59,776","-1","69,307","-1","56,92","1","1","3","2","1","1","1","4","1","5","1","1","3","3","3","1","4"
"125","853",93379,"1","77,922","-1","54,679","1","30","1","35,661","1","35,964","-1","47,55","1","85,731","1","50,248","1","51,83","1","47,357","2","3","2","2","2","2","1","4","1","4","2","2","3","1","4","1","4"
"126","896",38687,"-1","88,98","-1","83,319","1","50,136","-1","77,879","1","47,662","1","58,427","-1","40,811","-1","26,8","-1","75,176","1","43,735","1","1","1","1","1","1","1","1","1","4","3","2","1","2","3","2","3"
"127","1533",72340,"1","53,715","1","51,141","1","48,054","1","38,792","1","44,89","1","43,829","1","66,983","-1","45,285","-1","32,857","1","95,468","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","8","3"
"128","733",83247,"1","27,828","-1","15,997","-1","63,272","1","41,825","1","35,884","1","35,127","1","34,947","-1","37,502","-1","55,007","1","30,382","2","2","2","1","1","2","1","2","1","2","2","1","1","1","2","1","5"
"129","1130",74511,"1","27,426","-1","23,185","-1","14,363","-1","463,001","-1","22,31","1","31,345","1","26,715","-1","16,801","-1","16,628","-1","32,821","5","4","3","3","3","5","4","3","1","3","5","4","3","5","5","2",""
"130","2155",75282,"1","12,08","1","0","1","1,039","1","1,444","1","3,393","1","1,065","-1","3,151","1","1962,17","1","1,001","-1","0","4","4","2","4","4","4","3","4","1","4","4","2","4","4","5","8","1"
"131","1150",28362,"1","85,278","1","59,769","1","64,535","1","72,1","1","61,05","1","61,801","1","48,434","1","81,367","1","75,296","1","80,633","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5"
"132","1328",21991,"1","12,267","1","36,071","-1","4,939","1","6,029","-1","189,323","1","6,478","1","50,754","1","9,045","1","8,418","1","507,46","4","2","2","3","3","4","2","4","2","3","3","2","2","2","3","3",""
"133","1798",42881,"1","139,814","1","115,875","-1","293,32","1","132,916","-1","67,99","1","44,87","1","81,236","-1","81,954","1","120,841","-1","81,118","4","4","2","4","3","4","4","3","2","4","4","3","2","4","5","1","4"
"134","1425",12725,"1","58,743","-1","80,843","1","360,497","-1","75,359","1","135","1","49,7","1","2,822","1","86,168","1","85,239","-1","227,445","2","2","1","2","2","2","1","1","1","1","1","1","1","1","2","1","3"
"135","1622",94789,"-1","58,289","-1","308,208","1","60,33","1","85,282","1","138,584","1","82,086","1","60,728","1","257,205","-1","108,34","-1","79,967","4","4","5","4","5","5","4","5","3","4","5","5","4","2","5","2","3"
"136","2651",94295,"1","141,308","1","250,687","-1","268,053","1","415,344","-1","99,86","1","91,053","-1","164,995","-1","96,046","-1","243,021","-1","89,545","4","3","2","4","4","4","4","3","4","5","5","4","3","5","4","3","3"
"137","1392",57256,"1","111,929","-1","136,772","1","47,649","1","122,764","-1","17,034","1","149,429","-1","41,471","-1","19,003","1","72,747","-1","25,878","3","2","4","1","1","1","2","4","1","4","3","2","3","3","5","1","5"
"138","567",51663,"1","27,22","-1","45,902","1","29,899","-1","36,16","1","21,931","1","28,131","1","28,717","-1","31,201","-1","42,849","-1","56,791","1","1","1","1","1","1","1","1","1","2","1","1","1","1","3","1","5"
"139","1421",86626,"1","153,883","1","26,579","1","163,939","1","5,201","1","8,012","-1","76,933","-1","46,048","1","15,423","1","14,197","1","10,298","5","5","5","5","1","5","2","5","5","5","1","5","5","5","5","1","5"
"140","2606",36694,"1","128,774","-1","142,75","1","147,333","1","114,945","-1","190,934","1","131,241","1","181,567","1","71,165","1","112,641","-1","171,195","2","4","4","4","3","4","1","5","4","5","5","4","4","3","5","3","4"
"141","1668",72293,"1","38,19","-1","24,23","-1","156,661","-1","53,575","-1","81,152","1","40,015","1","79,565","-1","23,534","-1","28,262","1","64,49","5","3","3","3","1","5","3","3","1","3","3","3","3","4","5","4",""
"142","1878",84887,"1","60,289","1","185,022","1","253,82","1","166,315","1","100,754","1","97,561","-1","53,542","-1","93,628","-1","286,063","-1","117,12","2","4","4","2","3","4","4","4","2","5","3","2","4","2","4","1","4"
"143","1741",10563,"1","113,131","1","54,935","-1","118,593","1","43,032","1","174,461","1","44,846","1","62,003","1","83,969","1","98,569","1","76,702","2","2","3","3","3","4","2","4","2","4","4","2","3","4","4","1","5"
"144","2463",36007,"1","90,405","-1","224,88","-1","52,77","1","171,826","1","59,187","1","71,801","-1","204,442","1","142,923","-1","142,778","1","88,05","2","4","2","2","4","3","1","2","2","4","4","3","2","2","3","","5"
"145","2019",21987,"1","110,507","-1","58,38","1","88,264","1","129,954","-1","376,703","1","47,837","1","147,351","1","80,162","-1","63,231","-1","297,657","4","2","2","2","3","2","2","4","2","2","3","2","1","2","4","1","5"
"146","2944",86968,"1","1,427","-1","17,891","1","242,626","1","94,264","-1","71,959","1","173,98","-1","15,554","1","102,325","1","33,631","1","45,938","3","3","3","2","3","3","3","3","2","2","3","3","3","3","3","2","3"
"147","3135",58471,"1","468,857","-1","356,086","1","49,824","1","213,146","1","411,693","1","118,914","1","192,315","-1","90,311","-1","40,727","-1","208,006","4","2","2","1","2","2","2","2","1","4","4","2","1","3","4","1","5"
"148","2899",89131,"1","35,718","-1","327,248","1","204,201","1","255,513","1","378,239","1","197,371","1","203,046","1","121,774","1","102,731","1","85,186","5","4","3","3","4","4","2","3","4","4","3","3","2","3","4","4","3"
"149","394",58635,"1","1,099","1","15,844","-1","0,295","-1","2,055","-1","10,141","-1","0,496","-1","113,451","1","1,449","-1","0,499","-1","0","4","2","2","2","2","2","1","1","1","1","1","1","1","2","1","1","3"
"150","719",66157,"1","24,554","-1","38,03","-1","26,102","1","65,622","1","39,915","1","40,415","1","30,88","1","62,236","1","52,738","1","27,806","4","4","4","4","4","3","3","4","2","2","4","4","3","4","4","1","4"
"151","540",64451,"1","17,459","1","59,737","1","26,004","-1","27,978","-1","43,905","-1","24,109","1","26,598","1","28,096","1","12,374","-1","40,426","4","5","3","2","1","4","4","4","4","5","4","4","3","4","5","1","5"
"152","375",61518,"-1","42,175","-1","6,997","1","18,723","-1","7,081","1","47,1","-1","15,648","1","7,96","1","6,305","1","12,233","-1","7,789","5","4","3","4","3","4","4","3","4","4","4","4","5","5","4","8","2"
"153","525",14898,"1","21,829","1","21,216","1","24,943","1","27,163","-1","12,6","1","45,569","1","18,081","1","23,947","1","34,657","-1","24,354","2","4","1","3","1","2","4","1","4","3","4","5","2","2","4","1","4"
"154","552",97501,"1","25,1","-1","7,004","1","29,047","1","7,66","1","3,013","1","10,101","1","154,443","-1","8,85","1","19,193","-1","6,251","4","3","4","4","5","4","4","4","3","4","4","4","4","5","5","2","3"
"155","606",30616,"-1","30,045","1","23,592","1","42,584","1","36,583","1","44,64","1","32,739","1","40,323","-1","27,337","1","25,219","1","24,927","3","3","4","3","2","4","2","1","5","3","4","3","1","3","3","","4"
"156","873",90742,"1","52,262","1","46,458","1","56,651","1","47,644","1","66,765","1","51,639","1","33,61","-1","35,189","1","48,618","-1","40,19","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","8","2"
"157","958",13481,"-1","44,339","-1","23,383","1","134,852","1","34,243","-1","35,292","-1","28,25","1","57,577","-1","28,033","1","35,019","1","150,185","4","4","4","4","2","4","3","5","2","2","5","3","5","3","4","1","5"
"158","1006",82936,"-1","49,081","1","69,503","-1","43,35","1","42,814","-1","57,773","1","54,346","-1","49,935","-1","62,241","1","77,728","-1","42,181","1","1","5","4","4","1","1","5","1","2","1","1","5","1","5","1","4"
"159","757",59036,"1","22,412","-1","30,466","1","27,558","1","16,62","1","34,333","1","118,406","1","19,71","1","57,409","-1","31,571","-1","55,619","3","2","2","1","2","4","3","3","1","2","2","2","2","3","4","1","4"
"160","4216",79967,"1","8,379","1","10,413","1","10,479","1","10,882","-1","12,421","1","13,809","1","12,4","1","4,769","1","13,674","1","14,059","3","2","1","2","4","4","2","1","2","5","4","4","1","1","5","2","3"
