"","Participant_ID","Q1_V1_IH","Q1_Time","Q2_V1_ID","Q2_Time","Q3_V2_IH","Q3_Time","Q4_V2_ID","Q4_Time","Q5_V3_IH","Q5_Time","Q6_V3_ID","Q6_Time","Q7_V4_IH","Q7_Time","Q8_V4_ID","Q8_Time","Q9_V5_IH","Q9_Time","Q10_V5_ID","Q10_Time","Q11_V6_IH","Q11_Time","Q12_V6_ID","Q12_Time","Q13_V7_IH","Q13_Time","Q14_V7_ID","Q14_Time","Q15_V8_IH","Q15_Time","Q16_V8_ID","Q16_Time","Q17_V9_IH","Q17_Time","Q18_V9_ID","Q18_Time","Q19_V10_IH","Q19_Time","Q20_V10_ID","Q20_Time","Total_Time"
"110",49117,"100","31,172","100","29,705","71","30,345","93","57,267","89","28,441","98","23,7","89","39,311","93","42,727","62","35,914","94","65,416","74","38,768","39","32,543","65","33,966","65","32,07","73","72,893","66","32,353","81","32,665","86","31,868","70","35,652","41","34,35","1121"
"111",81835,"92","28,169","6","23,066","45","13,304","96","35,666","100","18,768","98","18,929","88","28,565","30","40,409","59","36,612","62","154,755","76","27,592","43","43,874","70","51,004","89","72,25","77","33,2","80","16,208","85","113,393","100","37,87","81","10,864","80","66,944","1181"
"112",99603,"57","1,157","30","1,388","28","1,147","72","1,583","85","1,093","62","720,076","66","2,146","44","0,991","25","2,817","21","1,354","70","1,385","88","6,375","49","1,157","35","2,48","63","1,272","40","2,068","57","5,244","28","0,889","92","12,169","50","1,605","1212"
"113",32818,"76","23,645","80","41,498","63","28,765","66","38,201","83","32,981","72","42,998","78","36,439","61","35,572","71","31,042","63","29,982","30","58,777","31","51,666","75","25,481","51","48,492","77","29,291","51","29,218","75","29,566","76","40,271","51","33,016","52","45,879","1274"
"114",78185,"84","13,999","59","32,032","39","10,96","85","20,668","85","24,013","71","107,43","74","46,534","55","121,293","74","55,855","82","23,946","72","25,138","45","53,022","70","20,924","87","13,68","75","21,943","60","18,392","77","26,693","70","250,128","51","20,816","85","63,115","1277"
"115",88495,"86","21,638","86","12,042","76","146,941","91","22,882","60","29,518","80","20,028","42","20,86","40","62,088","60","231,109","60","106,441","50","16,704","30","75,941","71","17,978","65","32,253","49","28,511","70","13,949","35","73,011","40","19,037","91","13,87","81","24,245","1297"
"116",29863,"93","44,831","70","81,793","83","26,101","83","28,933","87","32,925","76","55,262","60","23,369","40","148,165","48","48,466","84","37,047","20","33,593","43","31,857","73","20,219","80","49,459","87","29,796","80","33,934","92","64,097","89","14,684","66","9,859","60","28,979","1172"
"117",81890,"96","13,301","96","7,195","73","8,145","77","30,129","25","13,113","39","10,659","69","11,449","67","170,67","26","12,96","19","8,283","78","12,387","47","137,552","98","9,436","95","417,961","85","10,442","65","16,494","88","58,709","95","36,336","53","7,092","55","4,543","1268"
"118",96316,"75","34,251","60","30,445","85","39,031","80","60,692","95","27,734","70","45,795","40","54,772","65","33,422","100","33,163","100","31,721","90","42,048","85","79,5","80","36,461","85","41,833","85","31,945","60","48,723","81","36,027","75","53,278","95","43,761","94","41,519","1312"
"119",55989,"50","7,124","51","28,568","52","13,704","42","19,247","63","17,063","72","51,279","60","3,259","36","9,846","31","9,809","50","114,413","80","21,581","68","37,01","50","58,676","66","35,242","51","12,595","50","157,931","83","102,851","72","16,653","82","22,675","65","185,146","1330"
"120",89238,"85","70,559","91","47,35","86","71,364","84","35,504","91","42,374","90","24,239","50","39,389","60","48,416","66","51,908","70","44,702","40","33,66","30","54,673","81","56,824","84","35,323","90","32,045","86","27,799","91","19,61","91","95,812","50","18,752","50","51,328","1370"
"121",48304,"71","43,925","81","49,588","80","51,449","62","28,795","79","66,838","94","28,746","65","23,438","61","29,856","91","64,449","71","96,276","82","61,584","39","17,657","71","59,9","79","15,339","60","25,943","40","67,175","81","50,121","29","100,052","62","56,865","100","30,044","1421"
"122",14842,"100","71,678","100","61,467","50","145,785","75","116,301","100","60,902","100","77,384","100","81,008","100","51,746","100","124,161","100","52,546","80","104,699","20","113,254","80","61,395","100","68,16","100","52,543","100","73,098","100","65,896","100","66,154","80","151,902","100","50,636","3306"
"123",66447,"90","9,592","80","12,82","40","32,235","90","19,329","25","71,762","90","91,507","60","22,616","40","37,24","45","47,775","80","150,183","50","123,617","75","21,918","75","30,15","80","18,33","40","28,256","65","17,345","75","52,001","75","15,23","25","35,804","55","59,066","1359"
"124",91512,"91","39,435","86","37,852","82","154,055","55","106,803","95","15,958","70","20,205","93","7,743","92","27,014","64","69,011","70","33,345","55","20,241","34","30,566","76","17,108","76","11,597","85","20,845","81","29,661","82","89,598","90","28,094","78","46,16","65","15,112","1491"
"125",66311,"93","33,033","100","141,089","100","37,232","93","45,984","80","54,908","100","29,636","96","113,942","100","32,112","81","55,297","100","27,412","40","55,979","20","46,298","81","45,992","72","34,416","62","57,983","100","40,491","91","48,971","100","45,104","100","32,301","75","45,988","1518"
"126",18512,"85","20,236","80","27,029","60","34,158","80","35,557","15","20,823","100","18,555","40","28,869","55","77,602","75","23,536","75","28,243","55","26,208","45","34,367","75","24,403","70","26,5","35","38,191","85","35,938","50","30,335","20","50,825","80","26,856","95","20,333","1581"
"127",18752,"80","65,236","63","72,727","73","55,398","69","36,717","82","47,494","89","77,872","77","95,077","73","70,929","60","113,059","65","31,215","70","96,423","65","74,355","51","32,034","51","52,797","51","22,724","50","61,081","70","29,493","65","84,838","70","112,959","65","37,81","1611"
"128",51580,"72","40,436","81","40,882","70","123,138","70","113,289","86","42,476","81","44,224","77","60,657","60","60,98","62","93,07","77","42,9","44","48,473","50","55,551","72","35,645","82","52,09","65","76,281","61","46,819","75","37,16","84","41,592","72","76,402","50","41,679","1731"
"129",16766,"100","54,601","100","45,88","68","38,8","88","90,201","58","49,3","4","20,466","96","36,1","95","103,064","78","61,001","100","30,375","87","91,497","94","34,371","12","17,168","8","35,212","96","25,457","24","45,197","66","32,501","96","44,196","65","47,3","100","33,642","1802"
